FULLNAME,GENDERIDENTITY,BIRTHDATE,AGE,SIGNUPDATE,MEMBERSHIPLABEL,MEMBERSHIPCATEGORY,STATUS,BEGINDATE,ENDDATE,AUTORENEW,DROPREASON,INCOMECATEGORY,LASTATTDATE,ATTTOTAL,AUTOPAY,TOTALPAYMENTAMOUNT,TOTALDURATIONDAYS,MEMBERSHIPCOUNT,MEMBERSHIPTYPE
Donald Walker,Male,01/22/1987,38,12/10/2025,Spring Event,Monthly,Inactive,11/30/2026,12/12/2028,Yes,Financial Constraints,Standard Plan,11/30/2026,5,OFF,2430,743,4,Reactivated
Stephanie Miller,Female,05/14/1993,32,07/05/2022,Starter Pass,Flex Plan,Trialing,07/27/2023,09/20/2025,Yes,Relocation,Standard Plan,09/25/2023,4,ON,3979,786,6,Transferred
Daniel Wagner,Female,12/02/1972,52,07/26/2022,Starter Pass,Monthly,Active,03/19/2023,11/22/2024,Yes,Health Issues,Premium Pass,12/24/2024,0,OFF,937,614,3,FirstTime
Matthew Gardner,Female,03/22/1947,78,04/06/2024,Peak Season Promo,Trial,Inactive,02/25/2025,09/20/2026,Yes,Financial Constraints,Infinity Pass,06/17/2025,1,OFF,620,572,3,Renewed
Rhonda Smith,Male,10/29/1959,65,02/14/2015,Starter Pass,Monthly,Active,01/09/2016,06/15/2017,Yes,Schedule Conflicts,Standard Plan,09/18/2016,2,OFF,2243,523,3,Upgraded
Gina Moore,Female,11/15/1997,27,02/07/2021,Momentum Membership,Monthly,Inactive,08/18/2021,03/01/2023,Yes,,Starter Bundle,02/04/2023,0,OFF,3472,560,3,Renewed
Brandon Davis,Female,09/19/2007,17,02/18/2019,Annual Flex,Trial,Active,02/11/2020,08/19/2021,Yes,Relocation,Standard Plan,05/26/2025,0,ON,4244,555,4,Renewed
Renee Blair,Male,08/01/2000,24,01/15/2021,Starter Pass,Monthly,Active,12/16/2021,07/19/2023,No,Financial Constraints,Legacy Plan,09/25/2024,4,OFF,3052,580,3,FirstTime
Jamie Arnold,Male,05/08/1980,45,02/14/2024,Wellness Bundle,Monthly,Paused,11/04/2024,06/12/2026,No,Financial Constraints,Standard Plan,02/01/2025,1,ON,4766,585,3,Renewed
Shannon Ray,Female,05/29/1999,26,07/22/2021,Momentum Membership,Trial,Active,07/24/2022,05/27/2023,Yes,Injury,Flexi Tier,08/13/2022,1,OFF,1327,307,3,Gifted
